"","sample","d13Cuu","d18Ouu","treatment","d13Cdpaa","d18Odpaa","lab","treated","temp","baked"
"1","FE 01",-9.37,-0.69,"Untreated, Unbaked, 50 Rxn Temp",-9.59,0.02,"DPAA",FALSE,"50",FALSE
"2","FE 02",-15.29,-7.27,"Untreated, Unbaked, 50 Rxn Temp",-15.36,-5.62,"DPAA",FALSE,"50",FALSE
"3","FE 03",-8.26,-3.43,"Untreated, Unbaked, 50 Rxn Temp",-8.49,-1.86,"DPAA",FALSE,"50",FALSE
"4","FE 04",-10.62,-1.15,"Untreated, Unbaked, 50 Rxn Temp",-11.39,-1.12,"DPAA",FALSE,"50",FALSE
"5","FE 05",-15.75,-5.38,"Untreated, Unbaked, 50 Rxn Temp",-16.63,-5.73,"DPAA",FALSE,"50",FALSE
"6","FE 06",-13.68,-3.79,"Untreated, Unbaked, 50 Rxn Temp",-13.73,-2.85,"DPAA",FALSE,"50",FALSE
"7","FE 07",-10.72,0.9,"Untreated, Unbaked, 50 Rxn Temp",-11.27,0.59,"DPAA",FALSE,"50",FALSE
"8","FE 08",-9.52,0.08,"Untreated, Unbaked, 50 Rxn Temp",-9.6,1.23,"DPAA",FALSE,"50",FALSE
"9","TIE",-15.05,-8.05,"Untreated, Unbaked, 50 Rxn Temp",-15.04,-6.91,"DPAA",FALSE,"50",FALSE
"10","BOO-11",-14.46,-7.05,"Untreated, Unbaked, 50 Rxn Temp",-14.68,-4.63,"DPAA",FALSE,"50",FALSE
"11","FE 01",-9.4,-1.59,"Untreated, Baked, 30 Rxn Temp",-9.31,-1.37,"DPAA",FALSE,"30",TRUE
"12","FE 02",-15.52,-7.84,"Untreated, Baked, 30 Rxn Temp",-15.15,-7.23,"DPAA",FALSE,"30",TRUE
"13","FE 03",-8.39,-4.08,"Untreated, Baked, 30 Rxn Temp",-8.31,-3.16,"DPAA",FALSE,"30",TRUE
"14","FE 04",-10.71,-1.8,"Untreated, Baked, 30 Rxn Temp",-10.62,-1.82,"DPAA",FALSE,"30",TRUE
"15","FE 05",-15.79,-6.11,"Untreated, Baked, 30 Rxn Temp",-15.8,-6.28,"DPAA",FALSE,"30",TRUE
"16","FE 06",-13.73,-4.44,"Untreated, Baked, 30 Rxn Temp",-13.54,-3.77,"DPAA",FALSE,"30",TRUE
"17","FE 07",-10.78,0.04,"Untreated, Baked, 30 Rxn Temp",-10.76,-0.15,"DPAA",FALSE,"30",TRUE
"18","FE 08",-9.49,-0.79,"Untreated, Baked, 30 Rxn Temp",-9.38,-0.35,"DPAA",FALSE,"30",TRUE
"19","TIE",-15.14,-8.55,"Untreated, Baked, 30 Rxn Temp",-14.89,-8.14,"DPAA",FALSE,"30",TRUE
"20","BOO-11",-14.42,-8.3,"Untreated, Baked, 30 Rxn Temp",-14.32,-6.92,"DPAA",FALSE,"30",TRUE
"21","FE 01",-9.64,-0.16,"Treated, Unbaked, 50 Rxn Temp",-9.52,1.25,"DPAA",TRUE,"50",FALSE
"22","FE 02",-15.99,-6.7,"Treated, Unbaked, 50 Rxn Temp",-15.5,-4.2,"DPAA",TRUE,"50",FALSE
"23","FE 03",-8.79,-2.58,"Treated, Unbaked, 50 Rxn Temp",-8.35,-0.58,"DPAA",TRUE,"50",FALSE
"24","FE 04",-10.89,-0.54,"Treated, Unbaked, 50 Rxn Temp",-10.79,0.84,"DPAA",TRUE,"50",FALSE
"25","FE 05",-16.14,-5.04,"Treated, Unbaked, 50 Rxn Temp",-15.95,-3.17,"DPAA",TRUE,"50",FALSE
"26","FE 06",-14.33,-3.49,"Treated, Unbaked, 50 Rxn Temp",-13.84,-1.17,"DPAA",TRUE,"50",FALSE
"27","FE 07",-10.98,1.46,"Treated, Unbaked, 50 Rxn Temp",-10.79,2.2,"DPAA",TRUE,"50",FALSE
"28","FE 08",-9.76,-0.31,"Treated, Unbaked, 50 Rxn Temp",-9.35,2.2,"DPAA",TRUE,"50",FALSE
"29","TIE",-15.2,-7.76,"Treated, Unbaked, 50 Rxn Temp",-15.3,-6.9,"DPAA",TRUE,"50",FALSE
"30","BOO-11",-15.16,-7.42,"Treated, Unbaked, 50 Rxn Temp",-14.7,-3.84,"DPAA",TRUE,"50",FALSE
"31","FE 01",-9.73,-0.99,"Treated, Baked, 30 Rxn Temp",-9.26,0.54,"DPAA",TRUE,"30",TRUE
"32","FE 02",-16.03,-7.42,"Treated, Baked, 30 Rxn Temp",-15.03,-5.77,"DPAA",TRUE,"30",TRUE
"33","FE 03",-8.89,-3.19,"Treated, Baked, 30 Rxn Temp",-8.18,-1.06,"DPAA",TRUE,"30",TRUE
"34","FE 04",-10.99,-1.04,"Treated, Baked, 30 Rxn Temp",-10.47,0.05,"DPAA",TRUE,"30",TRUE
"35","FE 05",-16.23,-5.32,"Treated, Baked, 30 Rxn Temp",-15.62,-4,"DPAA",TRUE,"30",TRUE
"36","FE 06",-14.38,-3.83,"Treated, Baked, 30 Rxn Temp",-13.63,-1.89,"DPAA",TRUE,"30",TRUE
"37","FE 07",-11.09,0.83,"Treated, Baked, 30 Rxn Temp",-10.65,1.6,"DPAA",TRUE,"30",TRUE
"38","FE 08",-9.91,-0.4,"Treated, Baked, 30 Rxn Temp",-9.39,1.34,"DPAA",TRUE,"30",TRUE
"39","TIE",-15.31,-8.27,"Treated, Baked, 30 Rxn Temp",-14.65,-6.15,"DPAA",TRUE,"30",TRUE
"40","BOO-11",-15.05,-8.06,"Treated, Baked, 30 Rxn Temp",-14.19,-5.89,"DPAA",TRUE,"30",TRUE
